ticker,endeks_adi,olcum_tarihi
AVOD,BIST TÜM-100,2026-08-08
AVOD,BIST SINAİ,2026-08-08
AVOD,BIST 500,2026-08-08
AVOD,BIST ANA,2026-08-08
AVOD,"BIST GIDA, İÇECEK",2026-08-08
AVPGY,BIST KATILIM TUM,2026-08-08
AVPGY,BIST TÜM-100,2026-08-08
AVPGY,BIST KATILIM TEMETTU,2026-08-08
AVPGY,BIST TÜM,2026-08-08
AVPGY,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
AVPGY,BIST 500,2026-08-08
AVPGY,BIST MALİ,2026-08-08
AVPGY,BIST TEMETTÜ,2026-08-08
AVPGY,BIST YILDIZ,2026-08-08
AVTUR,BIST TURİZM,2026-08-08
AVTUR,BIST KONAKLAMA,2026-08-08
AVTUR,BIST HİZMETLER,2026-08-08
AVTUR,BIST İSTANBUL,2026-08-08
AVTUR,BIST TÜM-100,2026-08-08
AVTUR,BIST TÜM,2026-08-08
AYCES,BIST HİZMETLER,2026-08-08
AYCES,BIST KONAKLAMA,2026-08-08
AYCES,BIST TÜM,2026-08-08
AYCES,BIST TURİZM,2026-08-08
AYCES,BIST TÜM-100,2026-08-08
AYCES,BIST İZMİR,2026-08-08
AYCES,BIST 500,2026-08-08
AYCES,BIST ANA,2026-08-08
AYDEM,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AYDEM,BIST HİZMETLER,2026-08-08
AYDEM,BIST TÜM-100,2026-08-08
AYDEM,BIST KURUMSAL YÖNETİM,2026-08-08
AYDEM,BIST ELEKTRİK,2026-08-08
AYDEM,BIST DENİZLİ,2026-08-08
AYDEM,BIST TÜM,2026-08-08
AYDEM,BIST 500,2026-08-08
AYDEM,BIST YILDIZ,2026-08-08
AYEN,BIST TÜM-100,2026-08-08
AYEN,BIST KATILIM TEMETTU,2026-08-08
AYEN,BIST 500,2026-08-08
AYEN,BIST ANA,2026-08-08
AYEN,BIST KAYSERİ,2026-08-08
AYEN,BIST ELEKTRİK,2026-08-08
AYEN,BIST TEMETTÜ,2026-08-08
AYEN,BIST KATILIM TUM,2026-08-08
AYEN,BIST TÜM,2026-08-08
AYEN,BIST HİZMETLER,2026-08-08
AYGAZ,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
AYGAZ,BIST KURUMSAL YÖNETİM,2026-08-08
AYGAZ,BIST YILDIZ,2026-08-08
AYGAZ,BIST TEMETTÜ,2026-08-08
AYGAZ,BIST İSTANBUL,2026-08-08
AYGAZ,BIST TÜM,2026-08-08
AYGAZ,BIST TEMETTU 5 YIL,2026-08-08
AYGAZ,BIST 500,2026-08-08
AYGAZ,BIST TEMETTU 10 YIL,2026-08-08
AYGAZ,BIST TÜM-100,2026-08-08
AYGAZ,BIST SINAİ,2026-08-08
AYGAZ,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
AZTEK,BIST BİLİŞİM,2026-08-08
AZTEK,BIST 500,2026-08-08
AZTEK,BIST TÜM-100,2026-08-08
AZTEK,BIST TÜM,2026-08-08
AZTEK,BIST ANA,2026-08-08
AZTEK,BIST TEKNOLOJİ,2026-08-08
AZTEK,BIST İSTANBUL,2026-08-08
BAGFS,BIST ANA,2026-08-08
BAGFS,BIST BALIKESİR,2026-08-08
BAGFS,BIST TÜM,2026-08-08
BAGFS,BIST SINAİ,2026-08-08
BAGFS,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
BAGFS,BIST TÜM-100,2026-08-08
BAGFS,BIST 500,2026-08-08
BAHKM,BIST 500,2026-08-08
BAHKM,BIST SINAİ,2026-08-08
BAHKM,BIST TÜM-100,2026-08-08
BAHKM,BIST TÜM,2026-08-08
BAHKM,BIST ANA,2026-08-08
BAHKM,BIST KATILIM TUM,2026-08-08
BAHKM,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
BAHKM,BIST HALKA ARZ,2026-08-08
BAHKM,BIST KOBI SANAYİ,2026-08-08
BAKAB,BIST İZMİR,2026-08-08
BAKAB,BIST KATILIM TUM,2026-08-08
BAKAB,"BIST ORMAN, KAĞIT, BASIM",2026-08-08
BAKAB,BIST SINAİ,2026-08-08
BAKAB,BIST TÜM-100,2026-08-08
BAKAB,BIST TÜM,2026-08-08
BAKAB,BIST ANA,2026-08-08
BALSU,BIST SINAİ,2026-08-08
BALSU,BIST 100-30,2026-08-08
BALSU,BIST TÜM,2026-08-08
BALSU,"BIST GIDA, İÇECEK",2026-08-08
BALSU,BIST HALKA ARZ,2026-08-08
BALSU,BIST YILDIZ,2026-08-08
BALSU,BIST 500,2026-08-08
BALSU,BIST 100,2026-08-08
BANVT,BIST BALIKESİR,2026-08-08
BANVT,"BIST GIDA, İÇECEK",2026-08-08
BANVT,BIST SINAİ,2026-08-08
BANVT,BIST TÜM,2026-08-08
BANVT,BIST TÜM-100,2026-08-08
BANVT,BIST ANA,2026-08-08
BANVT,BIST 500,2026-08-08
BASGZ,BIST TÜM-100,2026-08-08
BASGZ,BIST YILDIZ,2026-08-08
BASGZ,BIST KATILIM TEMETTU,2026-08-08
BASGZ,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
BASGZ,BIST TÜM,2026-08-08
BASGZ,BIST TEMETTÜ,2026-08-08
BASGZ,BIST 500,2026-08-08
BASGZ,BIST MALİ,2026-08-08
BASGZ,BIST KATILIM TUM,2026-08-08
BAYRK,BIST SINAİ,2026-08-08
BAYRK,BIST ANA,2026-08-08
BAYRK,BIST 500,2026-08-08
BAYRK,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
BAYRK,BIST TÜM-100,2026-08-08
BAYRK,BIST KATILIM TUM,2026-08-08
BAYRK,BIST KOBI SANAYİ,2026-08-08
BAYRK,BIST TÜM,2026-08-08
BEGYO,BIST KATILIM TUM,2026-08-08
BEGYO,BIST 500,2026-08-08
BEGYO,BIST MALİ,2026-08-08
BEGYO,BIST TÜM,2026-08-08
BEGYO,BIST ANA,2026-08-08
BEGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
BEGYO,BIST KATILIM 100,2026-08-08
BEGYO,BIST TÜM-100,2026-08-08
BERA,BIST KONYA,2026-08-08
BERA,BIST KATILIM 50,2026-08-08
BERA,BIST HOLDİNG VE YATIRIM,2026-08-08
BERA,BIST 100-30,2026-08-08
BERA,BIST KATILIM TUM,2026-08-08
BERA,BIST KATILIM 100,2026-08-08
BERA,BIST 500,2026-08-08
BERA,BIST TÜM,2026-08-08
BERA,BIST MALİ,2026-08-08
BERA,BIST 100,2026-08-08
BERA,BIST YILDIZ,2026-08-08
BESLR,"BIST GIDA, İÇECEK",2026-08-08
BESLR,BIST TÜM,2026-08-08
BESLR,BIST 500,2026-08-08
BESLR,BIST BURSA,2026-08-08
BESLR,BIST YILDIZ,2026-08-08
BESLR,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BESLR,BIST SINAİ,2026-08-08
BESLR,BIST TÜM-100,2026-08-08
BESTE,BIST 500,2026-08-08
BESTE,BIST ANA,2026-08-08
BESTE,BIST TÜM,2026-08-08
BESTE,BIST ELEKTRİK,2026-08-08
BESTE,BIST HİZMETLER,2026-08-08
BESTE,BIST KATILIM TUM,2026-08-08
BESTE,BIST HALKA ARZ,2026-08-08
BESTE,BIST TÜM-100,2026-08-08
BESTE,BIST İSTANBUL,2026-08-08
BETAE,BIST KATILIM TUM,2026-08-08
BETAE,BIST TÜM-100,2026-08-08
BETAE,BIST YILDIZ,2026-08-08
BETAE,BIST SINAİ,2026-08-08
BETAE,BIST HALKA ARZ,2026-08-08
BETAE,"BIST METAL EŞYA, MAKİNA",2026-08-08
BETAE,BIST ADANA,2026-08-08
BETAE,BIST TÜM,2026-08-08
BEYAZ,BIST HİZMETLER,2026-08-08
BEYAZ,BIST TEMETTU 5 YIL,2026-08-08
BEYAZ,BIST 500,2026-08-08
BEYAZ,BIST ANA,2026-08-08
BEYAZ,BIST BALIKESİR,2026-08-08
BEYAZ,BIST ULAŞTIRMA,2026-08-08
BEYAZ,BIST TÜM,2026-08-08
BEYAZ,BIST TÜM-100,2026-08-08
BFREN,BIST YILDIZ,2026-08-08
BFREN,BIST TÜM-100,2026-08-08
BFREN,BIST 500,2026-08-08
BFREN,BIST BURSA,2026-08-08
BFREN,BIST SINAİ,2026-08-08
BFREN,"BIST METAL EŞYA, MAKİNA",2026-08-08
BFREN,BIST TÜM,2026-08-08
BIENY,BIST 500,2026-08-08
BIENY,BIST TÜM-100,2026-08-08
BIENY,BIST TÜM,2026-08-08
BIENY,BIST KATILIM TUM,2026-08-08
BIENY,"BIST TAŞ, TOPRAK",2026-08-08
BIENY,BIST KATILIM 100,2026-08-08
BIENY,BIST SINAİ,2026-08-08
BIENY,BIST YILDIZ,2026-08-08
BIGCH,BIST 500,2026-08-08
BIGCH,BIST TÜM,2026-08-08
BIGCH,BIST İSTANBUL,2026-08-08
BIGCH,BIST HİZMETLER,2026-08-08
BIGCH,BIST YIYECEK VE ICECEK  HIZMETLERI,2026-08-08
BIGCH,BIST TÜM-100,2026-08-08
BIGCH,BIST ANA,2026-08-08
BIGCH,BIST TEMETTÜ,2026-08-08
BIGCH,BIST TURİZM,2026-08-08
BIGEN,BIST HALKA ARZ,2026-08-08
BIGEN,BIST 500,2026-08-08
BIGEN,BIST İSTANBUL,2026-08-08
BIGEN,BIST TÜM-100,2026-08-08
BIGEN,BIST ELEKTRİK,2026-08-08
BIGEN,BIST HİZMETLER,2026-08-08
BIGEN,BIST TÜM,2026-08-08
BIGEN,BIST YILDIZ,2026-08-08
BIGTK,BIST İSTANBUL,2026-08-08
BIGTK,BIST HİZMETLER,2026-08-08
BIGTK,BIST TÜM-100,2026-08-08
BIGTK,BIST ANA,2026-08-08
BIGTK,BIST TÜM,2026-08-08
BIGTK,BIST 500,2026-08-08
BIMAS,BIST 100,2026-08-08
BIMAS,BIST 30,2026-08-08
BIMAS,BIST KATILIM TUM,2026-08-08
BIMAS,BIST KATILIM TEMETTU,2026-08-08
BIMAS,BIST KATILIM 100,2026-08-08
BIMAS,BIST TÜM,2026-08-08
BIMAS,BIST TEMETTÜ,2026-08-08
BIMAS,BIST 50,2026-08-08
BIMAS,BIST TEMETTÜ 25,2026-08-08
BIMAS,BIST TİCARET,2026-08-08
BIMAS,BIST PERAKENDE TICARET,2026-08-08
BIMAS,BIST 500,2026-08-08
BIMAS,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BIMAS,BIST KATILIM 50,2026-08-08
BIMAS,BIST SÜRDÜRÜLEBİLİRLİK 25,2026-08-08
BIMAS,BIST TEMETTU 10 YIL,2026-08-08
BIMAS,BIST YILDIZ,2026-08-08
BIMAS,BIST HİZMETLER,2026-08-08
BIMAS,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
BIMAS,BIST TEMETTU 5 YIL,2026-08-08
BIMAS,BIST KATILIM 30,2026-08-08
BINBN,BIST HALKA ARZ,2026-08-08
BINBN,BIST TÜM,2026-08-08
BINBN,BIST KATILIM TUM,2026-08-08
BINBN,BIST YILDIZ,2026-08-08
BINBN,BIST TÜM-100,2026-08-08
BINBN,BIST 500,2026-08-08
BINBN,BIST TEKNOLOJİ,2026-08-08
BINBN,BIST KATILIM 100,2026-08-08
BINBN,BIST BİLİŞİM,2026-08-08
BINBN,BIST İSTANBUL,2026-08-08
BINHO,BIST TÜM-100,2026-08-08
BINHO,BIST YILDIZ,2026-08-08
BINHO,BIST TÜM,2026-08-08
BINHO,BIST 500,2026-08-08
BINHO,BIST İSTANBUL,2026-08-08
BINHO,BIST KATILIM 50,2026-08-08
BINHO,BIST HOLDİNG VE YATIRIM,2026-08-08
BINHO,BIST KATILIM 100,2026-08-08
BINHO,BIST KATILIM TUM,2026-08-08
BINHO,BIST MALİ,2026-08-08
BIOEN,BIST KURUMSAL YÖNETİM,2026-08-08
BIOEN,BIST YILDIZ,2026-08-08
BIOEN,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BIOEN,BIST TÜM,2026-08-08
BIOEN,BIST HİZMETLER,2026-08-08
BIOEN,BIST 500,2026-08-08
BIOEN,BIST ELEKTRİK,2026-08-08
BIOEN,BIST TÜM-100,2026-08-08
BIOEN,BIST İZMİR,2026-08-08
BIZIM,BIST HİZMETLER,2026-08-08
BIZIM,BIST ANA,2026-08-08
BIZIM,BIST TÜM-100,2026-08-08
BIZIM,BIST TİCARET,2026-08-08
BIZIM,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BIZIM,BIST TÜM,2026-08-08
BIZIM,BIST PERAKENDE TICARET,2026-08-08
BJKAS,BIST YILDIZ,2026-08-08
BJKAS,BIST HİZMETLER,2026-08-08
BJKAS,BIST 500,2026-08-08
BJKAS,BIST TÜM-100,2026-08-08
BJKAS,BIST TÜM,2026-08-08
BJKAS,BIST İSTANBUL,2026-08-08
BJKAS,BIST SPOR,2026-08-08
BLCYT,BIST KOBI SANAYİ,2026-08-08
BLCYT,BIST TÜM-100,2026-08-08
BLCYT,BIST ANA,2026-08-08
BLCYT,BIST 500,2026-08-08
BLCYT,BIST ADANA,2026-08-08
BLCYT,"BIST TEKSTİL, DERİ",2026-08-08
BLCYT,BIST SINAİ,2026-08-08
BLCYT,BIST TÜM,2026-08-08
BLUME,BIST 500,2026-08-08
BLUME,BIST METAL ANA,2026-08-08
BLUME,BIST KOBI SANAYİ,2026-08-08
BLUME,BIST SINAİ,2026-08-08
BLUME,BIST TÜM-100,2026-08-08
BLUME,BIST ANA,2026-08-08
BLUME,BIST TÜM,2026-08-08
BMSCH,BIST ANA,2026-08-08
BMSCH,BIST TÜM,2026-08-08
BMSCH,BIST TÜM-100,2026-08-08
BMSCH,BIST METAL ANA,2026-08-08
BMSCH,BIST MANİSA,2026-08-08
BMSCH,BIST 500,2026-08-08
BMSCH,BIST SINAİ,2026-08-08
BMSTL,BIST KATILIM 100,2026-08-08
BMSTL,BIST 500,2026-08-08
BMSTL,BIST KOCAELİ,2026-08-08
BMSTL,BIST TÜM-100,2026-08-08
BMSTL,BIST SINAİ,2026-08-08
BMSTL,BIST KATILIM TUM,2026-08-08
BMSTL,BIST TÜM,2026-08-08
BMSTL,BIST METAL ANA,2026-08-08
BMSTL,BIST ANA,2026-08-08
BMSTL,BIST KATILIM 50,2026-08-08
BNTAS,BIST SINAİ,2026-08-08
BNTAS,BIST 500,2026-08-08
BNTAS,BIST TÜM-100,2026-08-08
BNTAS,BIST ANA,2026-08-08
BNTAS,BIST BALIKESİR,2026-08-08
BNTAS,BIST TÜM,2026-08-08
BNTAS,"BIST METAL EŞYA, MAKİNA",2026-08-08
BOBET,BIST GERİ ALIM,2026-08-08
BOBET,"BIST TAŞ, TOPRAK",2026-08-08
BOBET,BIST TÜM-100,2026-08-08
BOBET,BIST İSTANBUL,2026-08-08
BOBET,BIST TÜM,2026-08-08
BOBET,BIST 500,2026-08-08
BOBET,BIST SINAİ,2026-08-08
BOBET,BIST YILDIZ,2026-08-08
BORLS,BIST İSTANBUL,2026-08-08
BORLS,BIST TÜM,2026-08-08
BORLS,BIST 500,2026-08-08
BORLS,BIST TÜM-100,2026-08-08
BORLS,BIST HİZMETLER,2026-08-08
BORLS,BIST YILDIZ,2026-08-08
BORSK,BIST TÜM-100,2026-08-08
BORSK,BIST SINAİ,2026-08-08
BORSK,BIST GERİ ALIM,2026-08-08
BORSK,BIST ANA,2026-08-08
BORSK,"BIST GIDA, İÇECEK",2026-08-08
BORSK,BIST KATILIM TUM,2026-08-08
BORSK,BIST KATILIM TEMETTU,2026-08-08
BORSK,BIST TÜM,2026-08-08
BORSK,BIST 500,2026-08-08
BOSSA,BIST TÜM-100,2026-08-08
BOSSA,BIST KATILIM TUM,2026-08-08
BOSSA,BIST SINAİ,2026-08-08
BOSSA,"BIST TEKSTİL, DERİ",2026-08-08
BOSSA,BIST 500,2026-08-08
BOSSA,BIST ADANA,2026-08-08
BOSSA,BIST ANA,2026-08-08
BOSSA,BIST TÜM,2026-08-08
BRISA,BIST KATILIM TUM,2026-08-08
BRISA,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BRISA,BIST KOCAELİ,2026-08-08
BRISA,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
BRISA,BIST 500,2026-08-08
BRISA,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
BRISA,BIST TÜM-100,2026-08-08
BRISA,BIST TEMETTU 5 YIL,2026-08-08
BRISA,BIST SINAİ,2026-08-08
BRISA,BIST TÜM,2026-08-08
BRISA,BIST YILDIZ,2026-08-08
BRKSN,BIST SINAİ,2026-08-08
BRKSN,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
BRKSN,BIST KATILIM TUM,2026-08-08
BRKSN,BIST TÜM,2026-08-08
BRKSN,BIST KOBI SANAYİ,2026-08-08
BRKSN,BIST TEKİRDAĞ,2026-08-08
BRKSN,BIST TÜM-100,2026-08-08
BRKVY,BIST 500,2026-08-08
BRKVY,BIST TÜM,2026-08-08
BRKVY,BIST TEMETTÜ,2026-08-08
BRKVY,BIST TÜM-100,2026-08-08
BRKVY,BIST ANA,2026-08-08
BRKVY,BIST MALİ,2026-08-08
BRLSM,BIST 500,2026-08-08
BRLSM,BIST TÜM,2026-08-08
BRLSM,BIST ANA,2026-08-08
BRLSM,BIST İSTANBUL,2026-08-08
BRLSM,BIST İNŞAAT,2026-08-08
BRLSM,BIST TÜM-100,2026-08-08
BRLSM,BIST KATILIM TUM,2026-08-08
BRLSM,BIST HİZMETLER,2026-08-08
BRSAN,BIST İSTANBUL,2026-08-08
BRSAN,BIST SINAİ,2026-08-08
BRSAN,BIST 100,2026-08-08
BRSAN,BIST 100-30,2026-08-08
BRSAN,BIST YILDIZ,2026-08-08
BRSAN,BIST METAL ANA,2026-08-08
BRSAN,BIST 500,2026-08-08
BRSAN,BIST 50,2026-08-08
BRSAN,BIST TÜM,2026-08-08
BRYAT,BIST YILDIZ,2026-08-08
BRYAT,BIST 500,2026-08-08
BRYAT,BIST MALİ,2026-08-08
BRYAT,BIST İSTANBUL,2026-08-08
BRYAT,BIST TEMETTÜ 25,2026-08-08
BRYAT,BIST TEMETTU 10 YIL,2026-08-08
BRYAT,BIST TEMETTU 5 YIL,2026-08-08
BRYAT,BIST 100-30,2026-08-08
BRYAT,BIST 100,2026-08-08
BRYAT,BIST TÜM,2026-08-08
BRYAT,BIST TEMETTÜ,2026-08-08
BRYAT,BIST HOLDİNG VE YATIRIM,2026-08-08
BSOKE,BIST 500,2026-08-08
BSOKE,BIST KATILIM 30,2026-08-08
BSOKE,BIST KATILIM TUM,2026-08-08
BSOKE,"BIST TAŞ, TOPRAK",2026-08-08
BSOKE,BIST TÜM,2026-08-08
BSOKE,BIST 100-30,2026-08-08
BSOKE,BIST KATILIM 100,2026-08-08
BSOKE,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BSOKE,BIST KURUMSAL YÖNETİM,2026-08-08
BSOKE,BIST 100,2026-08-08
BSOKE,BIST AYDIN,2026-08-08
BSOKE,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
BSOKE,BIST KATILIM 50,2026-08-08
BSOKE,BIST YILDIZ,2026-08-08
BSOKE,BIST SINAİ,2026-08-08
BTCIM,BIST TÜM,2026-08-08
BTCIM,BIST 500,2026-08-08
BTCIM,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
BTCIM,BIST YILDIZ,2026-08-08
BTCIM,BIST 50,2026-08-08
BTCIM,BIST SINAİ,2026-08-08
BTCIM,BIST İZMİR,2026-08-08
BTCIM,BIST 100,2026-08-08
BTCIM,BIST 100-30,2026-08-08
BTCIM,BIST KURUMSAL YÖNETİM,2026-08-08
BTCIM,"BIST TAŞ, TOPRAK",2026-08-08
BUCIM,BIST TÜM-100,2026-08-08
BUCIM,BIST 500,2026-08-08
BUCIM,BIST TÜM,2026-08-08
BUCIM,"BIST TAŞ, TOPRAK",2026-08-08
BUCIM,BIST SINAİ,2026-08-08
BUCIM,BIST YILDIZ,2026-08-08
BUCIM,BIST KATILIM TUM,2026-08-08
BUCIM,BIST BURSA,2026-08-08
BULGS,BIST MALİ,2026-08-08
BULGS,BIST TÜM-100,2026-08-08
BULGS,BIST HALKA ARZ,2026-08-08
BULGS,BIST ANA,2026-08-08
BULGS,BIST GIRISIM SERMAYESI Y.O.,2026-08-08
BULGS,BIST TÜM,2026-08-08
BULGS,BIST 500,2026-08-08
BURCE,BIST KOBI SANAYİ,2026-08-08
BURCE,BIST BURSA,2026-08-08
BURCE,BIST TÜM,2026-08-08
BURCE,BIST TÜM-100,2026-08-08
BURCE,BIST KATILIM TUM,2026-08-08
BURCE,BIST SINAİ,2026-08-08
BURCE,BIST METAL ANA,2026-08-08
BURCE,BIST ANA,2026-08-08
BURCE,BIST 500,2026-08-08
BURVA,BIST TÜM-100,2026-08-08
BURVA,BIST BURSA,2026-08-08
BURVA,BIST KOBI SANAYİ,2026-08-08
BURVA,BIST METAL ANA,2026-08-08
BURVA,BIST TÜM,2026-08-08
BURVA,BIST SINAİ,2026-08-08
BURVA,BIST KATILIM TUM,2026-08-08
BVSAN,BIST TEMETTÜ,2026-08-08
BVSAN,BIST ANKARA,2026-08-08
BVSAN,BIST ANA,2026-08-08
BVSAN,BIST 500,2026-08-08
BVSAN,BIST TÜM-100,2026-08-08
BVSAN,BIST TÜM,2026-08-08
BVSAN,BIST SINAİ,2026-08-08
BVSAN,"BIST METAL EŞYA, MAKİNA",2026-08-08
BYDNR,BIST TÜM-100,2026-08-08
BYDNR,BIST TURİZM,2026-08-08
BYDNR,BIST ANA,2026-08-08
BYDNR,BIST İZMİR,2026-08-08
BYDNR,BIST YIYECEK VE ICECEK  HIZMETLERI,2026-08-08
BYDNR,BIST HİZMETLER,2026-08-08
BYDNR,BIST KATILIM TUM,2026-08-08
BYDNR,BIST TÜM,2026-08-08
CANTE,BIST 50,2026-08-08
CANTE,BIST 100,2026-08-08
CANTE,BIST TÜM,2026-08-08
CANTE,BIST KATILIM 30,2026-08-08
CANTE,BIST ELEKTRİK,2026-08-08
CANTE,BIST KATILIM 50,2026-08-08
CANTE,BIST KURUMSAL YÖNETİM,2026-08-08
CANTE,BIST YILDIZ,2026-08-08
CANTE,BIST 500,2026-08-08
CANTE,BIST HİZMETLER,2026-08-08
CANTE,BIST KATILIM TUM,2026-08-08
CANTE,BIST KATILIM 100,2026-08-08
CANTE,BIST 100-30,2026-08-08
CATES,BIST HİZMETLER,2026-08-08
CATES,BIST ELEKTRİK,2026-08-08
CATES,BIST ANA,2026-08-08
CATES,BIST TÜM,2026-08-08
CATES,BIST TÜM-100,2026-08-08
CATES,BIST KATILIM TUM,2026-08-08
CATES,BIST KURUMSAL YÖNETİM,2026-08-08
CATES,BIST 500,2026-08-08
CCOLA,BIST TEMETTÜ,2026-08-08
CCOLA,BIST YILDIZ,2026-08-08
CCOLA,BIST TÜM,2026-08-08
CCOLA,BIST 100,2026-08-08
CCOLA,BIST KURUMSAL YÖNETİM,2026-08-08
CCOLA,BIST 100-30,2026-08-08
CCOLA,BIST 500,2026-08-08
CCOLA,BIST TEMETTU 10 YIL,2026-08-08
CCOLA,BIST İSTANBUL,2026-08-08
CCOLA,BIST TEMETTÜ 25,2026-08-08
CCOLA,BIST 50,2026-08-08
CCOLA,BIST TEMETTU 5 YIL,2026-08-08
CCOLA,"BIST GIDA, İÇECEK",2026-08-08
CCOLA,BIST SINAİ,2026-08-08
CCOLA,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
CELHA,BIST TÜM,2026-08-08
CELHA,BIST 500,2026-08-08
CELHA,BIST KATILIM TUM,2026-08-08
CELHA,BIST ANA,2026-08-08
CELHA,BIST SINAİ,2026-08-08
CELHA,BIST METAL ANA,2026-08-08
CELHA,BIST KOCAELİ,2026-08-08
CELHA,BIST TÜM-100,2026-08-08
CEMAS,BIST 500,2026-08-08
CEMAS,BIST ANA,2026-08-08
CEMAS,BIST METAL ANA,2026-08-08
CEMAS,BIST SINAİ,2026-08-08
CEMAS,BIST TÜM-100,2026-08-08
CEMAS,BIST TÜM,2026-08-08
CEMTS,BIST BURSA,2026-08-08
CEMTS,BIST ANA,2026-08-08
CEMTS,BIST KATILIM TUM,2026-08-08
CEMTS,BIST TEMETTU 5 YIL,2026-08-08
CEMTS,BIST METAL ANA,2026-08-08
CEMTS,BIST TÜM-100,2026-08-08
CEMTS,BIST TÜM,2026-08-08
CEMTS,BIST SINAİ,2026-08-08
CEMTS,BIST 500,2026-08-08
CEMTS,BIST TEMETTU 10 YIL,2026-08-08
CEMTS,BIST KATILIM 100,2026-08-08
CEMZY,BIST BALIKESİR,2026-08-08
CEMZY,BIST SINAİ,2026-08-08
CEMZY,BIST TÜM,2026-08-08
CEMZY,"BIST GIDA, İÇECEK",2026-08-08
CEMZY,BIST TÜM-100,2026-08-08
CEMZY,BIST HALKA ARZ,2026-08-08
CEMZY,BIST YILDIZ,2026-08-08
CEMZY,BIST KATILIM 100,2026-08-08
CEMZY,BIST KATILIM TUM,2026-08-08
CEMZY,BIST 500,2026-08-08
CEOEM,BIST ANA,2026-08-08
CEOEM,BIST İSTANBUL,2026-08-08
CEOEM,BIST TÜM,2026-08-08
CEOEM,BIST TÜM-100,2026-08-08
CEOEM,BIST HİZMETLER,2026-08-08
CEOEM,BIST 500,2026-08-08
CGCAM,"BIST TAŞ, TOPRAK",2026-08-08
CGCAM,BIST 500,2026-08-08
CGCAM,BIST SINAİ,2026-08-08
CGCAM,BIST HALKA ARZ,2026-08-08
CGCAM,BIST TÜM-100,2026-08-08
CGCAM,BIST YILDIZ,2026-08-08
CGCAM,BIST MANİSA,2026-08-08
CGCAM,BIST TÜM,2026-08-08
CIMSA,BIST SÜRDÜRÜLEBİLİRLİK 25,2026-08-08
CIMSA,BIST TÜM,2026-08-08
CIMSA,BIST 100-30,2026-08-08
CIMSA,BIST KATILIM 100,2026-08-08
CIMSA,BIST KATILIM TEMETTU,2026-08-08
CIMSA,BIST TEMETTÜ,2026-08-08
CIMSA,BIST TEMETTÜ 25,2026-08-08
CIMSA,BIST KATILIM TUM,2026-08-08
CIMSA,BIST KATILIM 50,2026-08-08
CIMSA,BIST KATILIM 30,2026-08-08
CIMSA,BIST 50,2026-08-08
CIMSA,"BIST TAŞ, TOPRAK",2026-08-08
CIMSA,BIST YILDIZ,2026-08-08
CIMSA,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
CIMSA,BIST 500,2026-08-08
CIMSA,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
CIMSA,BIST SINAİ,2026-08-08
CIMSA,BIST 100,2026-08-08
CLEBI,BIST TÜM,2026-08-08
CLEBI,BIST TÜM-100,2026-08-08
CLEBI,BIST İSTANBUL,2026-08-08
CLEBI,BIST ULAŞTIRMA,2026-08-08
CLEBI,BIST TEMETTÜ,2026-08-08
CLEBI,BIST YILDIZ,2026-08-08
CLEBI,BIST HİZMETLER,2026-08-08
CLEBI,BIST 500,2026-08-08
CMBTN,BIST SINAİ,2026-08-08
CMBTN,"BIST TAŞ, TOPRAK",2026-08-08
CMBTN,BIST KATILIM TUM,2026-08-08
CMBTN,BIST ANA,2026-08-08
CMBTN,BIST İZMİR,2026-08-08
CMBTN,BIST TÜM,2026-08-08
CMBTN,BIST 500,2026-08-08
CMBTN,BIST TÜM-100,2026-08-08
CONSE,BIST ELEKTRİK,2026-08-08
CONSE,BIST İSTANBUL,2026-08-08
CONSE,BIST 500,2026-08-08
CONSE,BIST ANA,2026-08-08
CONSE,BIST TÜM,2026-08-08
CONSE,BIST KURUMSAL YÖNETİM,2026-08-08
CONSE,BIST TÜM-100,2026-08-08
CONSE,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
